sgemm	5	3145728	45a71dee	34.901336000
sgemm	4	3145728	45a71dee	37.286828000
sgemm	2	3145728	45a71dee	72.216250000
sgemm	1	3145728	45a71dee	72.198452000
sgemm	3	3145728	45a71dee	72.146334000
sgemm	5	3145728	45a71dee	60.183040000
sgemm	1	3145728	45a71dee	23.000563000
sgemm	6	3145728	45a71dee	60.335032000
sgemm	4	3145728	45a71dee	22.977613000
sgemm	2	3145728	45a71dee	93.547490000
sgemm	0	3145728	45a71dee	165.904672000
sgemm	1	3145728	45a71dee	70.631286000
sgemm	5	3145728	45a71dee	70.782911000
sgemm	3	3145728	45a71dee	86.708752000
sgemm	6	3145728	45a71dee	96.707042000
sgemm	4	3145728	45a71dee	96.697250000
strsm	0	2097152	e6adb9cb	26.056361000
sgemm	1	3145728	45a71dee	25.114503000
sgemm	3	3145728	45a71dee	26.052423000
strsm	5	2097152	e6adb9cb	26.088277000
sgemm	2	3145728	45a71dee	48.956485000
sgemm	1	3145728	45a71dee	27.855562000
sgemm	4	3145728	45a71dee	47.905467000
sgemm	1	3145728	45a71dee	20.091517000
sgemm	3	3145728	45a71dee	47.967658000
sgemm	2	3145728	45a71dee	72.805096000
sgemm	0	3145728	45a71dee	95.655834000
sgemm	1	3145728	45a71dee	47.698823000
sgemm	3	3145728	45a71dee	47.697105000
sgemm	5	3145728	45a71dee	95.634059000
sgemm	6	3145728	45a71dee	95.725180000
sgemm	4	3145728	45a71dee	59.049172000
sgemm	3	3145728	45a71dee	11.312444000
sgemm	4	3145728	45a71dee	11.414870000
sgemm	1	3145728	45a71dee	22.732774000
strsm	2	2097152	e6adb9cb	48.268366000
strsm	3	2097152	e6adb9cb	36.941154000
sgemm	5	3145728	45a71dee	48.286892000
sgemm	1	3145728	45a71dee	25.549644000
sgemm	6	3145728	45a71dee	48.363090000
sgemm	0	3145728	45a71dee	84.224511000
sgemm	6	3145728	45a71dee	35.844105000
sgemm	3	3145728	45a71dee	35.835555000
sgemm	1	3145728	45a71dee	35.888195000
sgemm	2	3145728	45a71dee	35.870995000
sgemm	5	3145728	45a71dee	35.943944000
sgemm	6	3145728	45a71dee	28.274075000
sgemm	3	3145728	45a71dee	28.285528000
sgemm	4	3145728	45a71dee	89.704566000
sgemm	1	3145728	45a71dee	28.269694000
sgemm	5	3145728	45a71dee	28.286676000
sgemm	0	3145728	45a71dee	59.862204000
sgemm	2	3145728	45a71dee	59.865472000
sgemm	3	3145728	45a71dee	31.552421000
sgemm	5	3145728	45a71dee	31.552020000
sgemm	6	3145728	45a71dee	31.582768000
sgemm	1	3145728	45a71dee	31.565313000
sgemm	3	3145728	45a71dee	27.179144000
sgemm	4	3145728	45a71dee	58.752217000
sgemm	6	3145728	45a71dee	27.159716000
sgemm	5	3145728	45a71dee	27.178665000
sgemm	2	3145728	45a71dee	27.185186000
sgemm	1	3145728	45a71dee	27.174617000
sgemm	2	3145728	45a71dee	32.039816000
sgemm	0	3145728	45a71dee	59.260844000
sgemm	1	3145728	45a71dee	32.047162000
sgemm	3	3145728	45a71dee	32.056337000
sgemm	6	3145728	45a71dee	32.067651000
sgemm	5	3145728	45a71dee	32.037667000
sgemm	4	3145728	45a71dee	43.590004000
sgemm	1	3145728	45a71dee	11.488515000
sgemm	2	3145728	45a71dee	24.040584000
sgemm	1	3145728	45a71dee	12.529089000
sgemm	0	3145728	45a71dee	66.940732000
sgemm	2	3145728	45a71dee	42.851999000
sgemm	1	3145728	45a71dee	42.859191000
sgemm	4	3145728	45a71dee	62.591895000
sgemm	6	3145728	45a71dee	87.421841000
sgemm	5	3145728	45a71dee	87.584939000
sgemm	3	3145728	45a71dee	87.585400000
sgemm	0	3145728	45a71dee	21.371819000
sgemm	2	3145728	45a71dee	21.372275000
sgemm	1	3145728	45a71dee	21.372294000
sgemm	4	3145728	45a71dee	34.435863000
sgemm	1	3145728	45a71dee	20.218049000
sgemm	3	3145728	45a71dee	20.963054000
sgemm	5	3145728	45a71dee	20.991946000
sgemm	6	3145728	45a71dee	39.666709000
sgemm	3	3145728	45a71dee	19.284359000
strsm	1	2097152	e6adb9cb	19.265831000
sgemm	1	3145728	45a71dee	39.527008000
sgemm	2	3145728	45a71dee	83.747949000
sgemm	0	3145728	45a71dee	83.746801000
sgemm	3	3145728	45a71dee	44.184725000
sgemm	6	3145728	45a71dee	67.659814000
sgemm	2	3145728	45a71dee	26.753915000
sgemm	0	3145728	45a71dee	26.754226000
sgemm	1	3145728	45a71dee	31.366989000
sgemm	3	3145728	45a71dee	26.755240000
strsm	5	2097152	e6adb9cb	104.233653000
sgemm	6	3145728	45a71dee	18.085382000
sgemm	4	3145728	45a71dee	104.255038000
sgemm	2	3145728	45a71dee	14.088922000
sgemm	1	3145728	45a71dee	14.089415000
sgemm	3	3145728	45a71dee	14.088163000
sgemm	2	3145728	45a71dee	31.031051000
sgemm	0	3145728	45a71dee	45.129574000
sgemm	3	3145728	45a71dee	31.023100000
sgemm	1	3145728	45a71dee	31.030102000
sgemm	6	3145728	45a71dee	31.131225000
sgemm	4	3145728	45a71dee	38.989489000
sgemm	5	3145728	45a71dee	81.770753000
sgemm	1	3145728	45a71dee	56.930964000
sgemm	0	3145728	45a71dee	60.761231000
strsm	2	2097152	e6adb9cb	60.761115000
sgemm	1	3145728	45a71dee	3.798807000
sgemm	4	3145728	45a71dee	54.143538000
strsm	3	2097152	e6adb9cb	75.990644000
sgemm	2	3145728	45a71dee	15.258403000
sgemm	0	3145728	45a71dee	15.312248000
sgemm	5	3145728	45a71dee	25.413431000
sgemm	6	3145728	45a71dee	76.092627000
sgemm	1	3145728	45a71dee	15.334970000
sgemm	0	3145728	45a71dee	28.917071000
sgemm	2	3145728	45a71dee	28.916601000
sgemm	5	3145728	45a71dee	28.914526000
sgemm	3	3145728	45a71dee	28.948958000
sgemm	4	3145728	45a71dee	43.019774000
sgemm	6	3145728	45a71dee	91.093201000
sgemm	0	3145728	45a71dee	69.075947000
sgemm	1	3145728	45a71dee	97.998845000
sgemm	4	3145728	45a71dee	69.078201000
sgemm	5	3145728	45a71dee	69.101710000
sgemm	3	3145728	45a71dee	109.015272000
sgemm	2	3145728	45a71dee	114.434539000
sgemm	0	3145728	45a71dee	47.895672000
sgemm	1	3145728	45a71dee	47.897061000
sgemm	4	3145728	45a71dee	47.898150000
sgemm	5	3145728	45a71dee	47.903235000
sgemm	1	3145728	45a71dee	21.152147000
sgemm	0	3145728	45a71dee	21.176560000
sgemm	6	3145728	45a71dee	75.973872000
sgemm	3	3145728	45a71dee	29.137459000
sgemm	2	3145728	45a71dee	41.401240000
sgemm	5	3145728	45a71dee	38.826839000
sgemm	1	3145728	45a71dee	17.847834000
sgemm	4	3145728	45a71dee	39.016074000
sgemm	3	3145728	45a71dee	17.845431000
sgemm	4	3145728	45a71dee	47.695799000
sgemm	6	3145728	45a71dee	65.550877000
sgemm	1	3145728	45a71dee	47.696816000
sgemm	3	3145728	45a71dee	47.692595000
sgemm	5	3145728	45a71dee	47.910736000
sgemm	2	3145728	45a71dee	78.923829000
sgemm	0	3145728	45a71dee	96.605650000
sgemm	5	3145728	45a71dee	31.002625000
sgemm	1	3145728	45a71dee	57.661206000
