sgetrf_nopiv	2	2359296	c5fba424	93.527816000
sgemm	0	7077888	19cb29ef	144.391599000
sgemm	5	7077888	19cb29ef	146.652888000
strsm	6	4718592	5f1ae26e	144.431019000
sgemm	1	7077888	19cb29ef	105.468207000
sgemm	0	7077888	19cb29ef	33.203907000
sgemm	1	7077888	19cb29ef	62.078648000
sgemm	4	7077888	19cb29ef	137.023647000
sgemm	5	7077888	19cb29ef	62.408242000
sgemm	0	7077888	19cb29ef	108.308940000
sgemm	6	7077888	19cb29ef	141.490573000
sgemm	1	7077888	19cb29ef	80.064853000
sgemm	3	7077888	19cb29ef	288.902058000
sgemm	5	7077888	19cb29ef	79.791235000
sgemm	7	7077888	19cb29ef	142.195520000
sgemm	0	7077888	19cb29ef	25.607559000
sgemm	7	7077888	19cb29ef	80.610830000
sgemm	6	7077888	19cb29ef	81.283163000
sgemm	4	7077888	19cb29ef	160.711598000
sgemm	1	7077888	19cb29ef	80.635549000
sgemm	3	7077888	19cb29ef	80.640621000
sgemm	0	7077888	19cb29ef	55.669289000
sgemm	5	7077888	19cb29ef	81.168339000
sgemm	4	7077888	19cb29ef	76.051178000
sgemm	7	7077888	19cb29ef	76.909179000
sgemm	1	7077888	19cb29ef	76.928331000
sgemm	6	7077888	19cb29ef	76.931200000
sgemm	0	7077888	19cb29ef	76.938270000
sgemm	5	7077888	19cb29ef	76.412902000
sgemm	3	7077888	19cb29ef	85.917720000
sgemm	4	7077888	19cb29ef	25.757052000
sgemm	7	7077888	19cb29ef	56.642109000
sgemm	3	7077888	19cb29ef	48.047027000
sgemm	5	7077888	19cb29ef	57.013728000
sgemm	4	7077888	19cb29ef	31.512387000
sgemm	1	7077888	19cb29ef	129.794995000
sgemm	7	7077888	19cb29ef	73.155391000
sgemm	0	7077888	19cb29ef	129.801228000
sgemm	6	7077888	19cb29ef	121.900677000
sgemm	3	7077888	19cb29ef	72.804396000
sgemm	5	7077888	19cb29ef	119.331652000
sgemm	4	7077888	19cb29ef	119.464739000
sgemm	0	7077888	19cb29ef	46.942918000
sgemm	3	7077888	19cb29ef	47.088028000
sgemm	1	7077888	19cb29ef	47.088426000
sgemm	6	7077888	19cb29ef	47.088070000
sgemm	7	7077888	19cb29ef	71.580101000
sgemm	0	7077888	19cb29ef	25.607148000
sgemm	4	7077888	19cb29ef	49.815886000
sgemm	5	7077888	19cb29ef	50.208112000
sgemm	3	7077888	19cb29ef	49.650946000
sgemm	6	7077888	19cb29ef	60.248838000
sgemm	5	7077888	19cb29ef	24.616690000
sgemm	6	7077888	19cb29ef	23.904818000
sgemm	5	7077888	19cb29ef	23.978881000
sgemm	3	7077888	19cb29ef	58.339394000
sgemm	7	7077888	19cb29ef	142.392642000
sgemm	1	7077888	19cb29ef	167.170565000
sgemm	6	7077888	19cb29ef	82.973544000
sgemm	4	7077888	19cb29ef	117.498841000
sgemm	5	7077888	19cb29ef	68.872808000
sgemm	0	7077888	19cb29ef	141.714088000
sgemm	3	7077888	19cb29ef	83.663697000
sgemm	6	7077888	19cb29ef	24.501988000
sgemm	7	7077888	19cb29ef	24.521409000
sgemm	4	7077888	19cb29ef	24.752674000
sgemm	6	7077888	19cb29ef	60.921097000
sgemm	1	7077888	19cb29ef	85.429179000
sgemm	0	7077888	19cb29ef	85.440979000
sgemm	5	7077888	19cb29ef	114.199745000
sgemm	7	7077888	19cb29ef	89.668445000
strsm	0	4718592	5f1ae26e	28.724604000
sgemm	6	7077888	19cb29ef	28.733407000
strsm	3	4718592	5f1ae26e	89.667471000
strsm	4	4718592	5f1ae26e	110.172695000
strsm	5	4718592	5f1ae26e	20.861543000
sgemm	6	7077888	19cb29ef	20.862196000
strsm	1	4718592	5f1ae26e	49.669445000
sgemm	7	7077888	19cb29ef	21.376633000
sgemm	0	7077888	19cb29ef	44.324936000
sgemm	5	7077888	19cb29ef	23.482068000
sgemm	4	7077888	19cb29ef	24.207792000
sgemm	4	7077888	19cb29ef	23.888269000
sgemm	6	7077888	19cb29ef	48.022681000
sgemm	1	7077888	19cb29ef	75.208790000
sgemm	7	7077888	19cb29ef	74.991737000
strsm	6	4718592	5f1ae26e	119.764945000
sgemm	0	7077888	19cb29ef	157.455912000
sgemm	3	7077888	19cb29ef	201.798376000
sgemm	7	7077888	19cb29ef	105.391818000
sgemm	1	7077888	19cb29ef	105.680912000
sgemm	6	7077888	19cb29ef	13.137512000
sgemm	5	7077888	19cb29ef	204.470908000
sgemm	1	7077888	19cb29ef	50.007212000
sgemm	4	7077888	19cb29ef	194.146871000
sgemm	7	7077888	19cb29ef	61.169703000
sgemm	6	7077888	19cb29ef	61.155666000
sgemm	0	7077888	19cb29ef	61.177133000
sgemm	3	7077888	19cb29ef	105.650594000
sgemm	0	7077888	19cb29ef	44.479333000
sgemm	1	7077888	19cb29ef	55.645858000
sgemm	6	7077888	19cb29ef	44.479351000
sgemm	4	7077888	19cb29ef	56.671704000
sgemm	6	7077888	19cb29ef	58.934262000
sgemm	3	7077888	19cb29ef	58.934338000
sgemm	4	7077888	19cb29ef	46.735054000
sgemm	7	7077888	19cb29ef	216.621555000
sgemm	5	7077888	19cb29ef	243.296194000
sgemm	0	7077888	19cb29ef	184.612289000
sgemm	1	7077888	19cb29ef	184.632618000
sgemm	7	7077888	19cb29ef	12.496644000
sgemm	6	7077888	19cb29ef	125.669089000
sgemm	3	7077888	19cb29ef	133.013909000
sgemm	0	7077888	19cb29ef	7.568515000
sgemm	4	7077888	19cb29ef	133.267192000
sgemm	7	7077888	19cb29ef	31.063976000
sgemm	6	7077888	19cb29ef	31.061768000
sgemm	0	7077888	19cb29ef	60.385704000
sgemm	3	7077888	19cb29ef	60.613549000
sgemm	6	7077888	19cb29ef	36.858701000
sgemm	7	7077888	19cb29ef	37.798522000
sgemm	4	7077888	19cb29ef	70.638186000
sgemm	1	7077888	19cb29ef	142.793698000
sgemm	7	7077888	19cb29ef	73.887115000
sgemm	4	7077888	19cb29ef	64.547328000
sgemm	3	7077888	19cb29ef	99.468794000
sgemm	0	7077888	19cb29ef	126.565777000
sgemm	5	7077888	19cb29ef	194.536708000
sgemm	3	7077888	19cb29ef	27.070820000
sgemm	6	7077888	19cb29ef	126.566737000
sgemm	4	7077888	19cb29ef	51.739597000
sgemm	1	7077888	19cb29ef	51.740352000
sgemm	7	7077888	19cb29ef	51.750239000
sgemm	6	7077888	19cb29ef	42.470576000
sgemm	1	7077888	19cb29ef	42.470688000
sgemm	7	7077888	19cb29ef	42.467758000
sgemm	1	7077888	19cb29ef	84.154728000
sgemm	0	7077888	19cb29ef	126.649576000
sgemm	6	7077888	19cb29ef	84.132515000
sgemm	7	7077888	19cb29ef	84.154819000
sgemm	5	7077888	19cb29ef	123.961568000
sgemm	4	7077888	19cb29ef	135.325774000
sgemm	3	7077888	19cb29ef	136.741184000
sgemm	7	7077888	19cb29ef	83.970008000
sgemm	4	7077888	19cb29ef	75.301945000
sgemm	6	7077888	19cb29ef	75.920576000
sgemm	1	7077888	19cb29ef	83.973128000
sgemm	0	7077888	19cb29ef	98.115055000
sgemm	3	7077888	19cb29ef	88.043300000
sgemm	5	7077888	19cb29ef	131.217057000
sgemm	0	7077888	19cb29ef	33.096660000
sgemm	1	7077888	19cb29ef	47.245026000
sgemm	7	7077888	19cb29ef	47.945377000
sgemm	1	7077888	19cb29ef	33.137455000
sgemm	4	7077888	19cb29ef	80.413993000
sgemm	3	7077888	19cb29ef	66.271069000
sgemm	5	7077888	19cb29ef	33.492749000
sgemm	0	7077888	19cb29ef	53.920141000
sgemm	6	7077888	19cb29ef	93.782610000
strsm	5	4718592	5f1ae26e	36.489957000
sgemm	6	7077888	19cb29ef	15.466651000
sgemm	1	7077888	19cb29ef	74.128322000
sgemm	3	7077888	19cb29ef	74.117128000
strsm	0	4718592	5f1ae26e	53.357392000
sgemm	4	7077888	19cb29ef	74.207294000
sgemm	6	7077888	19cb29ef	47.810347000
sgemm	6	7077888	19cb29ef	61.299632000
sgemm	5	7077888	19cb29ef	109.130314000
sgemm	4	7077888	19cb29ef	71.797554000
sgemm	1	7077888	19cb29ef	71.883809000
sgemm	0	7077888	19cb29ef	71.852667000
sgemm	3	7077888	19cb29ef	72.972639000
sgemm	0	7077888	19cb29ef	52.796771000
sgemm	7	7077888	19cb29ef	231.323852000
sgemm	1	7077888	19cb29ef	52.814466000
sgemm	6	7077888	19cb29ef	52.819852000
sgemm	3	7077888	19cb29ef	51.734030000
sgemm	4	7077888	19cb29ef	52.826844000
sgemm	3	7077888	19cb29ef	43.256827000
sgemm	5	7077888	19cb29ef	96.102233000
sgemm	0	7077888	19cb29ef	38.532512000
strsm	6	4718592	5f1ae26e	43.272762000
sgemm	4	7077888	19cb29ef	43.288019000
sgemm	7	7077888	19cb29ef	69.177438000
sgemm	5	7077888	19cb29ef	25.884366000
sgemm	3	7077888	19cb29ef	25.900793000
sgemm	1	7077888	19cb29ef	69.212973000
sgemm	6	7077888	19cb29ef	26.720089000
sgemm	0	7077888	19cb29ef	36.400347000
sgemm	6	7077888	19cb29ef	77.182214000
sgemm	1	7077888	19cb29ef	78.052319000
sgemm	7	7077888	19cb29ef	78.058631000
sgemm	4	7077888	19cb29ef	103.976068000
sgemm	5	7077888	19cb29ef	116.802718000
sgemm	0	7077888	19cb29ef	106.272501000
sgemm	3	7077888	19cb29ef	116.798957000
sgemm	7	7077888	19cb29ef	38.685121000
sgemm	4	7077888	19cb29ef	38.714642000
sgemm	4	7077888	19cb29ef	39.232401000
sgemm	3	7077888	19cb29ef	37.788072000
sgemm	1	7077888	19cb29ef	77.956611000
sgemm	6	7077888	19cb29ef	76.545328000
sgemm	5	7077888	19cb29ef	39.249696000
sgemm	7	7077888	19cb29ef	39.255113000
sgemm	0	7077888	19cb29ef	76.712127000
strsm	5	4718592	5f1ae26e	37.446800000
sgemm	6	7077888	19cb29ef	44.924000000
strsm	1	4718592	5f1ae26e	45.099486000
strsm	4	4718592	5f1ae26e	45.236331000
strsm	3	4718592	5f1ae26e	38.196616000
sgemm	0	7077888	19cb29ef	7.834911000
sgemm	7	7077888	19cb29ef	45.318315000
sgemm	5	7077888	19cb29ef	19.159624000
sgemm	3	7077888	19cb29ef	37.485567000
sgemm	6	7077888	19cb29ef	38.350773000
sgemm	5	7077888	19cb29ef	72.428602000
sgemm	4	7077888	19cb29ef	83.855532000
sgemm	0	7077888	19cb29ef	83.849130000
sgemm	3	7077888	19cb29ef	47.123073000
sgemm	4	7077888	19cb29ef	67.167043000
sgemm	3	7077888	19cb29ef	66.421285000
sgemm	1	7077888	19cb29ef	151.208953000
sgemm	6	7077888	19cb29ef	113.075972000
sgemm	7	7077888	19cb29ef	151.059435000
sgemm	0	7077888	19cb29ef	95.064689000
sgemm	5	7077888	19cb29ef	95.068633000
sgemm	4	7077888	19cb29ef	27.870845000
sgemm	1	7077888	19cb29ef	27.882131000
sgemm	6	7077888	19cb29ef	97.749506000
sgemm	3	7077888	19cb29ef	97.306501000
sgemm	0	7077888	19cb29ef	69.855819000
sgemm	5	7077888	19cb29ef	84.416658000
sgemm	7	7077888	19cb29ef	113.596800000
sgemm	1	7077888	19cb29ef	110.807619000
sgemm	0	7077888	19cb29ef	86.487467000
sgemm	4	7077888	19cb29ef	157.020300000
sgemm	5	7077888	19cb29ef	72.573330000
sgemm	6	7077888	19cb29ef	87.127528000
sgemm	3	7077888	19cb29ef	134.679980000
sgemm	6	7077888	19cb29ef	49.092797000
sgemm	4	7077888	19cb29ef	140.031738000
sgemm	6	7077888	19cb29ef	90.937486000
sgemm	1	7077888	19cb29ef	186.245560000
sgemm	3	7077888	19cb29ef	91.242221000
sgemm	7	7077888	19cb29ef	239.699687000
sgemm	0	7077888	19cb29ef	169.275126000
sgemm	5	7077888	19cb29ef	168.643388000
sgemm	6	7077888	19cb29ef	28.589761000
sgemm	4	7077888	19cb29ef	28.617622000
sgemm	1	7077888	19cb29ef	29.319046000
sgemm	3	7077888	19cb29ef	41.562866000
sgemm	4	7077888	19cb29ef	52.614198000
sgemm	1	7077888	19cb29ef	51.900731000
sgemm	7	7077888	19cb29ef	52.873461000
sgemm	7	7077888	19cb29ef	20.040476000
sgemm	4	7077888	19cb29ef	43.938527000
sgemm	5	7077888	19cb29ef	96.762754000
sgemm	3	7077888	19cb29ef	166.290609000
sgemm	4	7077888	19cb29ef	82.641735000
sgemm	5	7077888	19cb29ef	82.493431000
sgemm	0	7077888	19cb29ef	179.280283000
sgemm	7	7077888	19cb29ef	106.562663000
sgemm	1	7077888	19cb29ef	126.649944000
sgemm	6	7077888	19cb29ef	203.787389000
sgemm	4	7077888	19cb29ef	64.298321000
sgemm	3	7077888	19cb29ef	64.315674000
sgemm	5	7077888	19cb29ef	65.095617000
sgemm	1	7077888	19cb29ef	119.453799000
sgemm	7	7077888	19cb29ef	119.461971000
sgemm	6	7077888	19cb29ef	94.949527000
sgemm	3	7077888	19cb29ef	55.560772000
