5746, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5786, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5747, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5787, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5750, ssyrk, M768x768x4_M768x768x4, 4718592,	5790, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5751, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5791, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5752, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5792, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5753, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5793, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5754, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5794, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5755, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5795, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5756, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5796, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5757, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5797, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5758, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5798, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5759, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5799, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5760, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5800, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5761, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5801, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5762, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5802, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5763, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5803, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5764, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5804, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5767, ssyrk, M768x768x4_M768x768x4, 4718592,	5807, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5768, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5808, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5769, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5809, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5770, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5810, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5771, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5811, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5772, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5812, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5773, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5813, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5774, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5814, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5775, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5815, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5776, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5816, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5777, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5817, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5778, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5818, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5779, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5819, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5780, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5820, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5783, ssyrk, M768x768x4_M768x768x4, 4718592,	5823, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5784, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5824, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5785, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5825, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5786, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5826, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5787, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5827, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5788, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5828, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5789, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5829, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5790, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5830, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5791, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5831, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5792, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5832, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5793, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5833, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5794, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5834, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5795, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5835, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5798, ssyrk, M768x768x4_M768x768x4, 4718592,	5838, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5799, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5839, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5800, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5840, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5801, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5841, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5802, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5842, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5803, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5843, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5804, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5844, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5805, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5845, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5806, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5846, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5807, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5847, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5808, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5848, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5809, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5849, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5812, ssyrk, M768x768x4_M768x768x4, 4718592,	5852, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5813, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5853, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5814, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5854, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5815, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5855, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5816, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5856, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5817, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5857, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5818, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5858, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5819, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5859, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5820, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5860, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5821, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5861, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5822, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5862, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5825, ssyrk, M768x768x4_M768x768x4, 4718592,	5865, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5826, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5866, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5827, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5867, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5828, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5868, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5829, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5869, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5830, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5870, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
