57965, sgetrf_nopiv, M768x768x4, 2359296,
58152, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58153, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58154, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58155, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58156, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58157, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58158, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58159, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58160, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58161, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58162, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58163, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58164, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58165, strsm, M768x768x4_M768x768x4, 4718592,
58166, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58167, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58168, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58169, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58170, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58171, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58172, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58173, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58174, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58175, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58176, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58177, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58178, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58179, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58180, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58181, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58182, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58183, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58184, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58185, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58186, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58187, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58188, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58189, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58190, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58191, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58192, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58193, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58194, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58195, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58196, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58197, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58198, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58199, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58200, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58201, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58202, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58203, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58204, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58205, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58206, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58207, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58208, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
