CPU18 0.968138 46884 sgemm sgemm CUDA3 0.080066 46924 40
CPU19 1.062686 46885 sgemm sgemm CUDA1 0.051657 46925 40
CPU0 1.090433 46886 sgemm sgemm CUDA3 0.055356 46926 40
CPU1 0.981561 46887 sgemm sgemm CUDA3 0.050889 46927 40
CPU2 1.073274 46888 sgemm sgemm CUDA1 0.180839 46928 40
CPU3 1.084521 46889 sgemm sgemm CUDA3 0.068581 46929 40
CPU1 1.007639 46890 sgemm sgemm CUDA3 0.084434 46930 40
CPU13 0.945452 46891 sgemm sgemm CUDA3 0.034924 46931 40
CPU5 0.961319 46892 sgemm sgemm CUDA2 0.050562 46932 40
CPU12 1.062248 46893 sgemm sgemm CUDA1 0.048385 46933 40
CPU3 1.049364 46894 sgemm sgemm CUDA3 0.055806 46934 40
CPU6 1.053724 46895 sgemm sgemm CUDA2 0.052043 46935 40
CPU8 0.971933 46896 sgemm sgemm CUDA3 0.742576 46936 40
CPU17 0.961532 46897 sgemm sgemm CUDA2 0.473681 46937 40
CPU0 1.139116 46898 sgemm sgemm CUDA2 0.050292 46938 40
CPU13 0.984843 46899 sgemm sgemm CUDA0 0.050312 46939 40
CPU14 1.016869 46900 sgemm sgemm CUDA2 0.055431 46940 40
CPU14 0.958019 46901 sgemm sgemm CUDA3 0.039397 46941 40
CPU5 0.985391 46902 sgemm sgemm CUDA0 0.049677 46942 40
CPU3 1.035102 46903 sgemm sgemm CUDA1 0.054378 46943 40
CPU9 0.965036 46904 sgemm sgemm CUDA2 0.049631 46944 40
CPU10 1.048489 46905 sgemm sgemm CUDA2 0.048635 46945 40
CPU14 0.990707 46906 sgemm sgemm CUDA0 0.051556 46946 40
CPU13 0.974242 46907 sgemm sgemm CUDA2 0.048521 46947 40
CPU10 1.085615 46908 sgemm sgemm CUDA0 0.053010 46948 40
CPU19 1.087866 46909 sgemm sgemm CUDA3 0.045547 46949 40
CPU14 0.976055 46910 sgemm sgemm CUDA1 0.167583 46950 40
CPU5 1.111071 46911 sgemm sgemm CUDA3 0.051146 46951 40
CPU8 0.986760 46912 sgemm sgemm CUDA3 0.095903 46952 40
CPU4 0.982577 46913 sgemm sgemm CUDA0 0.046064 46953 40
CPU5 1.010171 46914 sgemm sgemm CUDA3 0.047688 46954 40
CPU6 1.100495 46915 sgemm sgemm CUDA3 0.047689 46955 40
CPU7 1.051408 46916 sgemm sgemm CUDA2 0.051157 46956 40
CPU8 0.971272 46917 sgemm sgemm CUDA0 0.049628 46957 40
CPU9 1.001069 46918 sgemm sgemm CUDA3 0.050208 46958 40
CPU10 1.090121 46919 sgemm sgemm CUDA1 0.049662 46959 40
CPU11 1.149233 46922 ssyrk ssyrk CUDA2 0.168532 46962 40
CPU12 1.117267 46923 sgemm sgemm CUDA2 0.042275 46963 40
CPU13 1.007636 46924 sgemm sgemm CUDA2 0.051295 46964 40
CPU14 0.955681 46925 sgemm sgemm CUDA2 0.054354 46965 40
CPU15 1.021732 46926 sgemm sgemm CUDA2 0.060333 46966 40
CPU16 1.028871 46927 sgemm sgemm CUDA1 0.053968 46967 40
CPU17 0.941143 46928 sgemm sgemm CUDA2 0.064981 46968 40
CPU18 0.987867 46929 sgemm sgemm CUDA0 0.396205 46969 40
CPU19 1.056157 46930 sgemm sgemm CUDA2 0.095206 46970 40
CPU0 1.080611 46931 sgemm sgemm CUDA1 0.090737 46971 40
CPU1 0.953538 46932 sgemm sgemm CUDA2 0.057239 46972 40
CPU2 1.049022 46933 sgemm sgemm CUDA2 0.055910 46973 40
CPU3 1.066143 46934 sgemm sgemm CUDA2 0.074045 46974 40
CPU4 1.016741 46935 sgemm sgemm CUDA1 0.129252 46975 40
CPU19 1.065942 46936 sgemm sgemm CUDA0 0.296680 46976 40
CPU3 1.091189 46937 sgemm sgemm CUDA1 0.046325 46977 40
CPU16 1.050060 46938 sgemm sgemm CUDA2 0.049937 46978 40
CPU14 1.000632 46939 sgemm sgemm CUDA1 0.049649 46979 40
CPU2 1.034566 46940 sgemm sgemm CUDA0 0.049970 46980 40
CPU5 0.943193 46941 sgemm sgemm CUDA2 0.045870 46981 40
CPU7 1.030126 46942 sgemm sgemm CUDA2 0.053120 46982 40
CPU10 1.068324 46943 sgemm sgemm CUDA2 0.050553 46983 40
CPU8 1.008509 46944 sgemm sgemm CUDA2 0.054567 46984 40
CPU12 1.079575 46945 sgemm sgemm CUDA0 0.049369 46985 40
CPU13 1.018164 46946 sgemm sgemm CUDA2 0.050374 46986 40
CPU14 0.996992 46947 sgemm sgemm CUDA3 0.255915 46987 40
CPU6 1.053821 46948 sgemm sgemm CUDA0 0.052616 46988 40
CPU4 0.938211 46949 sgemm sgemm CUDA1 0.433447 46989 40
CPU9 0.965284 46950 sgemm sgemm CUDA0 0.048543 46990 40
CPU19 1.058855 46951 sgemm sgemm CUDA2 0.050381 46991 40
CPU5 1.031962 46952 sgemm sgemm CUDA0 0.054173 46992 40
CPU13 0.991619 46953 sgemm sgemm CUDA2 0.072299 46993 40
CPU14 1.170721 46954 sgemm sgemm CUDA0 0.096690 46994 40
CPU14 1.014368 46955 sgemm sgemm CUDA0 0.052897 46995 40
CPU14 1.011009 46956 sgemm sgemm CUDA3 0.043456 46996 40
CPU14 0.991364 46957 sgemm sgemm CUDA1 0.056328 46997 40
CPU5 0.969442 46958 sgemm sgemm CUDA0 0.055604 46998 40
CPU5 1.031398 46959 sgemm sgemm CUDA2 0.053175 46999 40
CPU6 1.060365 46960 sgemm sgemm CUDA3 0.052191 47000 40
CPU7 1.072218 46961 sgemm sgemm CUDA0 0.048129 47001 40
CPU8 0.962337 46962 sgemm sgemm CUDA2 0.050811 47002 40
CPU9 0.958539 46963 sgemm sgemm CUDA0 0.052335 47003 40
CPU10 1.090916 46964 sgemm sgemm CUDA3 0.050160 47004 40
CPU18 0.982626 46965 sgemm sgemm CUDA1 0.049568 47005 40
CPU12 0.722921 46968 ssyrk ssyrk CUDA2 0.354631 47008 40
CPU13 1.009089 46969 sgemm sgemm CUDA2 0.312484 47009 40
CPU14 0.960002 46970 sgemm sgemm CUDA2 0.066195 47010 40
CPU15 1.035622 46971 sgemm sgemm CUDA2 0.045798 47011 40
CPU16 1.033862 46972 sgemm sgemm CUDA1 0.090325 47012 40
CPU17 0.973294 46973 sgemm sgemm CUDA2 0.055141 47013 40
CPU18 1.019549 46974 sgemm sgemm CUDA0 0.054766 47014 40
CPU19 1.051870 46975 sgemm sgemm CUDA2 0.050762 47015 40
CPU0 1.088767 46976 sgemm sgemm CUDA1 0.056744 47016 40
CPU1 0.978974 46977 sgemm sgemm CUDA2 0.054264 47017 40
CPU2 1.034371 46978 sgemm sgemm CUDA2 0.052229 47018 40
CPU3 1.073956 46979 sgemm sgemm CUDA2 0.053524 47019 40
CPU4 1.038075 46980 sgemm sgemm CUDA1 0.045677 47020 40
CPU7 1.067157 46981 sgemm sgemm CUDA0 0.286063 47021 40
CPU14 0.987643 46982 sgemm sgemm CUDA1 0.047392 47022 40
CPU14 0.956878 46983 sgemm sgemm CUDA0 0.047967 47023 40
CPU14 0.962030 46984 sgemm sgemm CUDA1 0.050343 47024 40
CPU1 0.950167 46985 sgemm sgemm CUDA0 0.300911 47025 40
CPU6 1.092717 46986 sgemm sgemm CUDA2 0.052047 47026 40
CPU9 0.950824 46987 sgemm sgemm CUDA2 0.054026 47027 40
CPU19 1.047095 46988 sgemm sgemm CUDA2 0.046056 47028 40
CPU7 1.071696 46989 sgemm sgemm CUDA0 0.054934 47029 40
CPU13 0.968676 46990 sgemm sgemm CUDA0 0.050999 47030 40
CPU14 1.031171 46991 sgemm sgemm CUDA2 0.084124 47031 40
CPU14 1.013620 46992 sgemm sgemm CUDA1 0.076672 47032 40
CPU7 1.083805 46993 sgemm sgemm CUDA0 0.049094 47033 40
CPU4 0.936074 46994 sgemm sgemm CUDA1 0.107161 47034 40
CPU9 0.982915 46995 sgemm sgemm CUDA0 0.059346 47035 40
CPU12 1.119020 46996 sgemm sgemm CUDA2 0.049179 47036 40
CPU13 1.018499 46997 sgemm sgemm CUDA0 0.048636 47037 40
CPU13 0.986735 46998 sgemm sgemm CUDA2 0.050610 47038 40
CPU14 1.021131 46999 sgemm sgemm CUDA0 0.092852 47039 40
CPU12 1.114948 47000 sgemm sgemm CUDA0 0.050276 47040 40
CPU3 1.118841 47001 sgemm sgemm CUDA1 0.051822 47041 40
CPU7 1.082951 47002 sgemm sgemm CUDA1 0.055344 47042 40
CPU7 1.048589 47003 sgemm sgemm CUDA0 0.055985 47043 40
CPU5 0.987034 47004 sgemm sgemm CUDA0 0.046459 47044 40
CPU6 1.058274 47005 sgemm sgemm CUDA0 0.049608 47045 40
CPU7 1.112352 47006 sgemm sgemm CUDA0 0.048182 47046 40
CPU8 0.953013 47007 sgemm sgemm CUDA2 0.049842 47047 40
CPU9 0.940179 47008 sgemm sgemm CUDA0 0.045474 47048 40
CPU10 1.062168 47009 sgemm sgemm CUDA1 0.045861 47049 40
CPU17 0.978814 47010 sgemm sgemm CUDA1 0.049140 47050 40
CPU12 0.776943 47013 ssyrk ssyrk CUDA0 0.039124 47053 40
CPU13 0.994470 47014 sgemm sgemm CUDA0 0.055246 47054 40
CPU14 0.980455 47015 sgemm sgemm CUDA2 0.063906 47055 40
CPU15 0.989935 47016 sgemm sgemm CUDA1 0.051090 47056 40
CPU16 1.017099 47017 sgemm sgemm CUDA2 0.058166 47057 40
CPU17 0.924441 47018 sgemm sgemm CUDA0 0.068185 47058 40
CPU18 0.975123 47019 sgemm sgemm CUDA0 0.049109 47059 40
CPU19 1.067387 47020 sgemm sgemm CUDA2 0.050128 47060 40
