sgemm	7	3145728	45a71dee	47.990840000
sgemm	5	3145728	45a71dee	62.222532000
sgemm	3	3145728	45a71dee	62.238234000
sgemm	4	3145728	45a71dee	98.560169000
sgemm	3	3145728	45a71dee	47.838329000
sgemm	2	3145728	45a71dee	95.694464000
sgemm	5	3145728	45a71dee	47.839692000
sgemm	6	3145728	45a71dee	47.844745000
sgemm	7	3145728	45a71dee	47.857116000
sgemm	0	3145728	45a71dee	87.263892000
sgemm	3	3145728	45a71dee	39.477422000
sgemm	5	3145728	45a71dee	39.474927000
sgemm	6	3145728	45a71dee	61.800326000
sgemm	7	3145728	45a71dee	61.791387000
sgemm	5	3145728	45a71dee	22.299004000
sgemm	2	3145728	45a71dee	96.203728000
sgemm	3	3145728	45a71dee	56.689059000
sgemm	0	3145728	45a71dee	56.689056000
sgemm	7	3145728	45a71dee	60.134353000
sgemm	4	3145728	45a71dee	121.971920000
sgemm	5	3145728	45a71dee	60.331839000
sgemm	6	3145728	45a71dee	80.491924000
sgemm	3	3145728	45a71dee	59.127818000
sgemm	6	3145728	45a71dee	56.051500000
sgemm	3	3145728	45a71dee	46.213273000
sgemm	4	3145728	45a71dee	83.075731000
sgemm	5	3145728	45a71dee	82.878306000
ssyrk	0	2097152	e6adb9cb	115.624713000
sgemm	7	3145728	45a71dee	93.340328000
sgemm	3	3145728	45a71dee	17.014905000
sgemm	2	3145728	45a71dee	122.397269000
sgemm	6	3145728	45a71dee	27.167377000
sgemm	0	3145728	45a71dee	17.167041000
sgemm	5	3145728	45a71dee	23.962253000
sgemm	6	3145728	45a71dee	10.101087000
sgemm	0	3145728	45a71dee	6.658363000
sgemm	3	3145728	45a71dee	17.093893000
sgemm	2	3145728	45a71dee	28.624442000
sgemm	4	3145728	45a71dee	49.527899000
sgemm	6	3145728	45a71dee	18.887762000
sgemm	7	3145728	45a71dee	39.262939000
sgemm	5	3145728	45a71dee	25.547145000
sgemm	3	3145728	45a71dee	34.837935000
sgemm	0	3145728	45a71dee	34.839653000
strsm	6	2097152	e6adb9cb	15.942494000
sgemm	2	3145728	45a71dee	23.422298000
sgemm	7	3145728	45a71dee	21.240006000
sgemm	4	3145728	45a71dee	21.240342000
sgemm	5	3145728	45a71dee	21.236116000
sgemm	0	3145728	45a71dee	5.286623000
strsm	4	2097152	e6adb9cb	31.917664000
sgemm	5	3145728	45a71dee	31.930470000
sgemm	2	3145728	45a71dee	37.098389000
sgemm	7	3145728	45a71dee	32.598577000
sgemm	0	3145728	45a71dee	34.856504000
sgemm	6	3145728	45a71dee	53.305653000
sgemm	5	3145728	45a71dee	16.138544000
sgemm	0	3145728	45a71dee	35.660434000
sgemm	3	3145728	45a71dee	75.665233000
ssyrk	6	2097152	e6adb9cb	42.086763000
sgemm	5	3145728	45a71dee	42.081638000
sgemm	0	3145728	45a71dee	20.038241000
sgemm	0	3145728	45a71dee	24.932525000
strsm	3	2097152	e6adb9cb	44.966293000
sgemm	5	3145728	45a71dee	25.326314000
sgemm	6	3145728	45a71dee	41.385897000
sgemm	7	3145728	45a71dee	119.108215000
sgemm	6	3145728	45a71dee	36.421792000
sgemm	6	3145728	45a71dee	50.096238000
sgemm	7	3145728	45a71dee	66.465618000
sgemm	4	3145728	45a71dee	186.108463000
sgemm	5	3145728	45a71dee	102.615263000
sgemm	0	3145728	45a71dee	102.655910000
sgemm	2	3145728	45a71dee	186.034606000
sgemm	3	3145728	45a71dee	118.773004000
strsm	2	2097152	e6adb9cb	19.466785000
sgemm	0	3145728	45a71dee	19.466602000
sgemm	3	3145728	45a71dee	3.262315000
strsm	7	2097152	e6adb9cb	19.481602000
strsm	5	2097152	e6adb9cb	33.572025000
ssyrk	4	2097152	e6adb9cb	31.010757000
sgemm	6	3145728	45a71dee	33.846429000
sgemm	0	3145728	45a71dee	14.402011000
sgemm	4	3145728	45a71dee	58.827732000
ssyrk	3	2097152	e6adb9cb	73.076439000
sgemm	7	3145728	45a71dee	73.143875000
sgemm	0	3145728	45a71dee	94.805780000
sgemm	2	3145728	45a71dee	109.089969000
sgemm	5	3145728	45a71dee	95.015923000
sgemm	4	3145728	45a71dee	35.983979000
sgemm	6	3145728	45a71dee	94.858731000
sgemm	4	3145728	45a71dee	24.045208000
sgemm	6	3145728	45a71dee	24.022283000
ssyrk	7	2097152	e6adb9cb	60.001252000
sgemm	4	3145728	45a71dee	24.250313000
sgemm	3	3145728	45a71dee	84.303168000
sgemm	7	3145728	45a71dee	51.287794000
sgemm	5	3145728	45a71dee	75.366373000
sgemm	4	3145728	45a71dee	71.841958000
sgemm	6	3145728	45a71dee	96.133654000
sgemm	3	3145728	45a71dee	71.860308000
ssyrk	5	2097152	e6adb9cb	44.822172000
sgemm	2	3145728	45a71dee	120.216289000
ssyrk	2	2097152	e6adb9cb	11.380375000
sgemm	0	3145728	45a71dee	131.625301000
sgemm	7	3145728	45a71dee	56.258514000
sgemm	3	3145728	45a71dee	16.292597000
sgemm	4	3145728	45a71dee	47.953065000
sgemm	7	3145728	45a71dee	36.539376000
sgemm	6	3145728	45a71dee	47.951767000
sgemm	5	3145728	45a71dee	42.039669000
sgemm	0	3145728	45a71dee	82.642484000
sgemm	3	3145728	45a71dee	77.625895000
sgemm	6	3145728	45a71dee	46.079871000
sgemm	7	3145728	45a71dee	60.771810000
sgemm	5	3145728	45a71dee	60.773854000
sgemm	4	3145728	45a71dee	61.009288000
sgemm	0	3145728	45a71dee	15.028235000
sgemm	2	3145728	45a71dee	97.694456000
sgemm	6	3145728	45a71dee	15.049245000
sgemm	3	3145728	45a71dee	62.147924000
sgemm	4	3145728	45a71dee	47.258476000
sgemm	2	3145728	45a71dee	47.134036000
sgemm	5	3145728	45a71dee	47.488173000
sgemm	6	3145728	45a71dee	94.355370000
sgemm	0	3145728	45a71dee	94.664530000
sgemm	7	3145728	45a71dee	95.018422000
sgemm	5	3145728	45a71dee	47.496737000
sgemm	3	3145728	45a71dee	47.394360000
sgemm	4	3145728	45a71dee	47.519013000
sgemm	2	3145728	45a71dee	60.322705000
sgemm	7	3145728	45a71dee	33.238667000
strsm	0	2097152	e6adb9cb	33.237734000
sgemm	5	3145728	45a71dee	33.229713000
sgemm	6	3145728	45a71dee	48.814599000
sgemm	3	3145728	45a71dee	68.787139000
sgemm	6	3145728	45a71dee	44.435200000
sgemm	4	3145728	45a71dee	109.881367000
sgemm	3	3145728	45a71dee	41.082802000
sgemm	6	3145728	45a71dee	27.781523000
sgemm	4	3145728	45a71dee	35.486470000
sgemm	3	3145728	45a71dee	35.501894000
sgemm	5	3145728	45a71dee	112.159731000
sgemm	2	3145728	45a71dee	156.282394000
sgemm	7	3145728	45a71dee	135.848528000
sgemm	5	3145728	45a71dee	23.655428000
strsm	6	2097152	e6adb9cb	83.551791000
sgemm	0	3145728	45a71dee	170.976269000
sgemm	7	3145728	45a71dee	35.211382000
sgemm	3	3145728	45a71dee	58.895091000
sgemm	7	3145728	45a71dee	6.558558000
sgemm	4	3145728	45a71dee	65.494283000
sgemm	5	3145728	45a71dee	41.800013000
sgemm	6	3145728	45a71dee	22.462983000
sgemm	0	3145728	45a71dee	60.723604000
sgemm	2	3145728	45a71dee	95.956305000
sgemm	7	3145728	45a71dee	54.124701000
sgemm	4	3145728	45a71dee	64.790847000
sgemm	3	3145728	45a71dee	83.216679000
sgemm	3	3145728	45a71dee	37.502299000
sgemm	2	3145728	45a71dee	59.966185000
ssyrk	0	2097152	e6adb9cb	59.966183000
sgemm	5	3145728	45a71dee	114.130156000
sgemm	6	3145728	45a71dee	98.138994000
sgemm	4	3145728	45a71dee	49.374894000
sgemm	0	3145728	45a71dee	46.833605000
sgemm	2	3145728	45a71dee	46.815768000
sgemm	7	3145728	45a71dee	97.442754000
sgemm	5	3145728	45a71dee	46.833092000
sgemm	3	3145728	45a71dee	46.868943000
ssyrk	6	2097152	e6adb9cb	59.805174000
sgemm	0	3145728	45a71dee	12.946836000
sgemm	4	3145728	45a71dee	94.802613000
sgemm	3	3145728	45a71dee	47.945552000
sgemm	7	3145728	45a71dee	47.985632000
sgemm	0	3145728	45a71dee	52.751437000
sgemm	2	3145728	45a71dee	65.733822000
sgemm	5	3145728	45a71dee	65.733680000
strsm	4	2097152	e6adb9cb	37.927061000
sgemm	6	3145728	45a71dee	72.949809000
sgemm	5	3145728	45a71dee	17.553747000
sgemm	4	3145728	45a71dee	46.452523000
sgemm	7	3145728	45a71dee	84.492259000
sgemm	6	3145728	45a71dee	46.548602000
sgemm	5	3145728	45a71dee	46.548937000
sgemm	0	3145728	45a71dee	66.720730000
sgemm	3	3145728	45a71dee	105.014501000
sgemm	0	3145728	45a71dee	20.510748000
sgemm	6	3145728	45a71dee	32.114876000
sgemm	2	3145728	45a71dee	126.918462000
sgemm	3	3145728	45a71dee	39.810109000
sgemm	7	3145728	45a71dee	108.452831000
sgemm	4	3145728	45a71dee	108.435611000
sgemm	2	3145728	45a71dee	58.842040000
sgemm	0	3145728	45a71dee	98.822720000
sgemm	3	3145728	45a71dee	58.987648000
sgemm	6	3145728	45a71dee	87.223535000
sgemm	5	3145728	45a71dee	119.356442000
