sgemm	0	11059200	24c84a50	347.988692000
sgemm	6	11059200	24c84a50	529.337720000
ssyrk	4	7372800	ff82dda0	246.162312000
sgemm	5	11059200	24c84a50	245.617488000
sgemm	3	11059200	24c84a50	272.672935000
sgemm	1	11059200	24c84a50	303.129422000
sgemm	5	11059200	24c84a50	58.273140000
sgemm	2	11059200	24c84a50	302.233272000
sgemm	4	11059200	24c84a50	58.276484000
strsm	0	7372800	ff82dda0	274.852293000
sgemm	6	11059200	24c84a50	93.948658000
sgemm	3	11059200	24c84a50	114.767282000
sgemm	4	11059200	24c84a50	83.691318000
sgemm	5	11059200	24c84a50	84.722619000
sgemm	6	11059200	24c84a50	115.515041000
sgemm	3	11059200	24c84a50	106.503695000
sgemm	4	11059200	24c84a50	105.653665000
sgemm	1	11059200	24c84a50	302.093083000
ssyrk	0	7372800	ff82dda0	301.864920000
sgemm	6	11059200	24c84a50	186.375512000
sgemm	3	11059200	24c84a50	112.406800000
sgemm	4	11059200	24c84a50	112.460377000
sgemm	5	11059200	24c84a50	243.175618000
sgemm	2	11059200	24c84a50	474.212549000
sgemm	4	11059200	24c84a50	172.890222000
sgemm	1	11059200	24c84a50	174.097326000
sgemm	3	11059200	24c84a50	172.937580000
sgemm	0	11059200	24c84a50	172.934419000
strsm	1	7372800	ff82dda0	91.555818000
sgemm	4	11059200	24c84a50	91.602795000
sgemm	0	11059200	24c84a50	91.589592000
sgemm	5	11059200	24c84a50	238.696551000
sgemm	3	11059200	24c84a50	172.501591000
sgemm	6	11059200	24c84a50	345.493976000
sgemm	4	11059200	24c84a50	81.208738000
sgemm	2	11059200	24c84a50	207.518340000
sgemm	6	11059200	24c84a50	187.655500000
sgemm	1	11059200	24c84a50	270.851462000
sgemm	3	11059200	24c84a50	189.976793000
sgemm	5	11059200	24c84a50	270.860212000
sgemm	4	11059200	24c84a50	213.410785000
sgemm	3	11059200	24c84a50	74.736353000
sgemm	6	11059200	24c84a50	77.053913000
sgemm	2	11059200	24c84a50	332.630362000
sgemm	3	11059200	24c84a50	102.162377000
sgemm	4	11059200	24c84a50	153.189036000
sgemm	5	11059200	24c84a50	176.911587000
sgemm	0	11059200	24c84a50	471.207590000
sgemm	5	11059200	24c84a50	171.608383000
sgemm	1	11059200	24c84a50	348.763410000
