sgemm	1	4915200	f0ac7beb	134.179064000
sgemm	4	4915200	f0ac7beb	83.752785000
sgemm	3	4915200	f0ac7beb	83.752321000
sgemm	0	4915200	f0ac7beb	61.063594000
sgemm	7	4915200	f0ac7beb	83.791280000
sgemm	5	4915200	f0ac7beb	90.101061000
sgemm	1	4915200	f0ac7beb	28.899980000
strsm	0	3276800	d39bff17	28.899315000
sgemm	2	4915200	f0ac7beb	28.904971000
sgemm	7	4915200	f0ac7beb	28.899454000
ssyrk	0	3276800	d39bff17	66.370509000
sgemm	7	4915200	f0ac7beb	66.430334000
sgemm	5	4915200	f0ac7beb	66.588330000
sgemm	2	4915200	f0ac7beb	66.432980000
sgemm	1	4915200	f0ac7beb	66.448767000
sgemm	3	4915200	f0ac7beb	115.891372000
sgemm	4	4915200	f0ac7beb	138.368016000
sgemm	5	4915200	f0ac7beb	45.878540000
sgemm	2	4915200	f0ac7beb	46.295896000
sgemm	3	4915200	f0ac7beb	25.732948000
sgemm	7	4915200	f0ac7beb	46.302902000
sgemm	4	4915200	f0ac7beb	52.908100000
sgemm	5	4915200	f0ac7beb	53.090337000
sgemm	3	4915200	f0ac7beb	53.092561000
sgemm	1	4915200	f0ac7beb	99.456122000
sgemm	2	4915200	f0ac7beb	59.618069000
sgemm	3	4915200	f0ac7beb	6.480964000
sgemm	0	4915200	f0ac7beb	105.951437000
sgemm	7	4915200	f0ac7beb	59.648422000
sgemm	4	4915200	f0ac7beb	57.684468000
sgemm	3	4915200	f0ac7beb	51.185768000
sgemm	1	4915200	f0ac7beb	57.684713000
sgemm	0	4915200	f0ac7beb	51.192828000
sgemm	7	4915200	f0ac7beb	51.173403000
sgemm	2	4915200	f0ac7beb	51.221381000
sgemm	5	4915200	f0ac7beb	97.814273000
sgemm	3	4915200	f0ac7beb	34.793985000
sgemm	2	4915200	f0ac7beb	40.080481000
sgemm	4	4915200	f0ac7beb	39.927423000
sgemm	7	4915200	f0ac7beb	40.100374000
strsm	1	3276800	d39bff17	40.127478000
sgemm	3	4915200	f0ac7beb	66.481009000
sgemm	1	4915200	f0ac7beb	66.397780000
sgemm	0	4915200	f0ac7beb	106.458504000
sgemm	2	4915200	f0ac7beb	66.469451000
sgemm	5	4915200	f0ac7beb	104.020250000
sgemm	4	4915200	f0ac7beb	104.020062000
sgemm	0	4915200	f0ac7beb	37.741545000
sgemm	7	4915200	f0ac7beb	104.284725000
sgemm	2	4915200	f0ac7beb	31.734604000
sgemm	3	4915200	f0ac7beb	37.762116000
sgemm	1	4915200	f0ac7beb	63.873768000
sgemm	7	4915200	f0ac7beb	26.301709000
sgemm	3	4915200	f0ac7beb	60.107863000
sgemm	0	4915200	f0ac7beb	60.128655000
sgemm	2	4915200	f0ac7beb	60.194484000
sgemm	3	4915200	f0ac7beb	42.954184000
sgemm	1	4915200	f0ac7beb	76.958177000
sgemm	2	4915200	f0ac7beb	42.787146000
sgemm	5	4915200	f0ac7beb	128.405399000
sgemm	0	4915200	f0ac7beb	143.146447000
sgemm	1	4915200	f0ac7beb	100.201799000
sgemm	3	4915200	f0ac7beb	100.200357000
sgemm	2	4915200	f0ac7beb	100.203488000
sgemm	7	4915200	f0ac7beb	177.024299000
sgemm	5	4915200	f0ac7beb	83.458284000
ssyrk	1	3276800	d39bff17	48.844952000
sgemm	0	4915200	f0ac7beb	48.870995000
sgemm	2	4915200	f0ac7beb	48.834859000
sgemm	3	4915200	f0ac7beb	48.981848000
sgemm	7	4915200	f0ac7beb	49.149061000
strsm	1	3276800	d39bff17	55.294011000
sgemm	0	4915200	f0ac7beb	55.294074000
sgemm	7	4915200	f0ac7beb	54.977623000
sgemm	5	4915200	f0ac7beb	114.620896000
sgemm	1	4915200	f0ac7beb	26.015822000
sgemm	0	4915200	f0ac7beb	26.105197000
sgemm	3	4915200	f0ac7beb	81.156260000
sgemm	2	4915200	f0ac7beb	81.462325000
sgemm	7	4915200	f0ac7beb	37.159845000
sgemm	4	4915200	f0ac7beb	344.940052000
sgemm	5	4915200	f0ac7beb	18.402716000
sgemm	1	4915200	f0ac7beb	11.038093000
strsm	3	3276800	d39bff17	11.060174000
sgemm	2	4915200	f0ac7beb	18.337137000
sgemm	5	4915200	f0ac7beb	20.662969000
sgemm	7	4915200	f0ac7beb	20.666510000
ssyrk	0	3276800	d39bff17	45.338754000
sgemm	7	4915200	f0ac7beb	13.601193000
sgemm	5	4915200	f0ac7beb	27.674543000
sgemm	1	4915200	f0ac7beb	63.157065000
sgemm	7	4915200	f0ac7beb	28.858475000
sgemm	0	4915200	f0ac7beb	36.992670000
ssyrk	3	3276800	d39bff17	95.813627000
strsm	0	3276800	d39bff17	24.971624000
sgemm	7	4915200	f0ac7beb	33.039892000
sgemm	5	4915200	f0ac7beb	64.296471000
sgemm	2	4915200	f0ac7beb	127.497198000
ssyrk	0	3276800	d39bff17	38.415712000
sgemm	1	4915200	f0ac7beb	115.821864000
sgemm	2	4915200	f0ac7beb	44.277279000
sgemm	0	4915200	f0ac7beb	96.675553000
sgemm	5	4915200	f0ac7beb	118.791790000
sgemm	7	4915200	f0ac7beb	135.157875000
sgemm	2	4915200	f0ac7beb	52.362783000
sgemm	4	4915200	f0ac7beb	231.585347000
sgemm	1	4915200	f0ac7beb	83.802362000
sgemm	3	4915200	f0ac7beb	166.612218000
sgemm	5	4915200	f0ac7beb	59.378703000
sgemm	4	4915200	f0ac7beb	91.309415000
sgemm	3	4915200	f0ac7beb	134.819253000
sgemm	7	4915200	f0ac7beb	160.448312000
sgemm	5	4915200	f0ac7beb	107.360308000
sgemm	2	4915200	f0ac7beb	166.659441000
sgemm	0	4915200	f0ac7beb	166.758680000
sgemm	4	4915200	f0ac7beb	75.405484000
sgemm	1	4915200	f0ac7beb	149.577355000
sgemm	0	4915200	f0ac7beb	36.846600000
sgemm	4	4915200	f0ac7beb	36.899951000
sgemm	1	4915200	f0ac7beb	90.473728000
sgemm	7	4915200	f0ac7beb	104.713893000
sgemm	2	4915200	f0ac7beb	104.702658000
sgemm	4	4915200	f0ac7beb	67.789832000
sgemm	5	4915200	f0ac7beb	104.714912000
sgemm	0	4915200	f0ac7beb	67.834674000
sgemm	1	4915200	f0ac7beb	47.769522000
sgemm	3	4915200	f0ac7beb	153.026422000
sgemm	2	4915200	f0ac7beb	47.770375000
sgemm	2	4915200	f0ac7beb	40.402793000
sgemm	1	4915200	f0ac7beb	107.611950000
sgemm	7	4915200	f0ac7beb	155.408645000
sgemm	0	4915200	f0ac7beb	155.406793000
sgemm	5	4915200	f0ac7beb	155.437931000
sgemm	4	4915200	f0ac7beb	155.435509000
sgemm	3	4915200	f0ac7beb	157.558412000
sgemm	0	4915200	f0ac7beb	49.934711000
sgemm	2	4915200	f0ac7beb	117.141263000
sgemm	4	4915200	f0ac7beb	49.934590000
sgemm	7	4915200	f0ac7beb	73.675967000
sgemm	4	4915200	f0ac7beb	34.217393000
strsm	5	3276800	d39bff17	149.072316000
sgemm	7	4915200	f0ac7beb	75.411448000
sgemm	0	4915200	f0ac7beb	99.148096000
sgemm	2	4915200	f0ac7beb	99.146622000
sgemm	4	4915200	f0ac7beb	64.895567000
sgemm	1	4915200	f0ac7beb	149.242799000
sgemm	1	4915200	f0ac7beb	69.040539000
sgemm	3	4915200	f0ac7beb	168.349055000
sgemm	2	4915200	f0ac7beb	91.809360000
sgemm	4	4915200	f0ac7beb	91.793329000
sgemm	1	4915200	f0ac7beb	22.701456000
sgemm	1	4915200	f0ac7beb	60.585240000
sgemm	3	4915200	f0ac7beb	83.323775000
sgemm	1	4915200	f0ac7beb	50.323612000
ssyrk	5	3276800	d39bff17	211.325463000
sgemm	0	4915200	f0ac7beb	211.423955000
sgemm	4	4915200	f0ac7beb	119.613359000
sgemm	1	4915200	f0ac7beb	15.667244000
sgemm	2	4915200	f0ac7beb	126.683729000
sgemm	3	4915200	f0ac7beb	65.990183000
sgemm	7	4915200	f0ac7beb	218.566109000
strsm	4	3276800	d39bff17	75.994825000
sgemm	2	4915200	f0ac7beb	70.041599000
sgemm	7	4915200	f0ac7beb	82.684859000
sgemm	3	4915200	f0ac7beb	93.380782000
sgemm	1	4915200	f0ac7beb	93.403010000
sgemm	7	4915200	f0ac7beb	19.957524000
sgemm	5	4915200	f0ac7beb	109.856567000
sgemm	3	4915200	f0ac7beb	9.458331000
sgemm	2	4915200	f0ac7beb	32.854877000
ssyrk	4	3276800	d39bff17	33.738732000
sgemm	0	4915200	f0ac7beb	110.148359000
sgemm	4	4915200	f0ac7beb	93.288180000
sgemm	7	4915200	f0ac7beb	94.219461000
sgemm	0	4915200	f0ac7beb	93.927109000
sgemm	1	4915200	f0ac7beb	101.929000000
sgemm	0	4915200	f0ac7beb	24.658963000
sgemm	3	4915200	f0ac7beb	118.754431000
sgemm	2	4915200	f0ac7beb	118.742620000
sgemm	4	4915200	f0ac7beb	25.332789000
sgemm	0	4915200	f0ac7beb	32.673361000
sgemm	3	4915200	f0ac7beb	34.674689000
sgemm	2	4915200	f0ac7beb	32.671983000
sgemm	5	4915200	f0ac7beb	153.591214000
sgemm	7	4915200	f0ac7beb	59.363527000
sgemm	4	4915200	f0ac7beb	34.707266000
sgemm	4	4915200	f0ac7beb	78.669086000
sgemm	7	4915200	f0ac7beb	78.687912000
strsm	1	3276800	d39bff17	138.008926000
sgemm	3	4915200	f0ac7beb	78.697510000
sgemm	0	4915200	f0ac7beb	97.800701000
sgemm	0	4915200	f0ac7beb	101.589797000
sgemm	7	4915200	f0ac7beb	120.278526000
sgemm	2	4915200	f0ac7beb	199.394914000
sgemm	1	4915200	f0ac7beb	120.585551000
sgemm	4	4915200	f0ac7beb	124.576694000
sgemm	5	4915200	f0ac7beb	203.355617000
sgemm	3	4915200	f0ac7beb	124.633608000
sgemm	0	4915200	f0ac7beb	61.197124000
sgemm	1	4915200	f0ac7beb	61.196324000
sgemm	7	4915200	f0ac7beb	61.196117000
sgemm	2	4915200	f0ac7beb	61.164311000
ssyrk	3	3276800	d39bff17	57.293014000
sgemm	5	4915200	f0ac7beb	57.303918000
sgemm	4	4915200	f0ac7beb	72.896643000
sgemm	7	4915200	f0ac7beb	29.511790000
sgemm	3	4915200	f0ac7beb	82.112105000
sgemm	2	4915200	f0ac7beb	123.281520000
strsm	1	3276800	d39bff17	131.979499000
sgemm	0	4915200	f0ac7beb	131.955508000
strsm	7	3276800	d39bff17	101.735485000
sgemm	2	4915200	f0ac7beb	33.029670000
sgemm	4	4915200	f0ac7beb	140.927073000
sgemm	5	4915200	f0ac7beb	156.457772000
sgemm	0	4915200	f0ac7beb	24.490464000
ssyrk	7	3276800	d39bff17	24.994220000
sgemm	3	4915200	f0ac7beb	74.994060000
ssyrk	1	3276800	d39bff17	115.329580000
sgemm	4	4915200	f0ac7beb	90.964940000
sgemm	7	4915200	f0ac7beb	90.329470000
sgemm	2	4915200	f0ac7beb	91.007459000
sgemm	0	4915200	f0ac7beb	90.952416000
sgemm	3	4915200	f0ac7beb	90.282263000
sgemm	5	4915200	f0ac7beb	121.028250000
sgemm	4	4915200	f0ac7beb	30.172517000
strsm	1	3276800	d39bff17	66.258747000
sgemm	3	4915200	f0ac7beb	66.256763000
sgemm	2	4915200	f0ac7beb	59.343840000
sgemm	3	4915200	f0ac7beb	65.803466000
sgemm	0	4915200	f0ac7beb	132.068765000
sgemm	5	4915200	f0ac7beb	102.045847000
sgemm	2	4915200	f0ac7beb	65.807172000
sgemm	2	4915200	f0ac7beb	52.081592000
sgemm	0	4915200	f0ac7beb	58.100843000
sgemm	3	4915200	f0ac7beb	52.108994000
sgemm	1	4915200	f0ac7beb	124.017032000
sgemm	7	4915200	f0ac7beb	190.383328000
sgemm	5	4915200	f0ac7beb	65.108043000
sgemm	4	4915200	f0ac7beb	167.044831000
sgemm	2	4915200	f0ac7beb	6.836626000
sgemm	7	4915200	f0ac7beb	29.179998000
ssyrk	0	3276800	d39bff17	29.204079000
sgemm	2	4915200	f0ac7beb	22.460148000
strsm	1	3276800	d39bff17	99.179683000
sgemm	4	4915200	f0ac7beb	92.346993000
sgemm	7	4915200	f0ac7beb	69.961827000
sgemm	2	4915200	f0ac7beb	69.869875000
sgemm	0	4915200	f0ac7beb	69.972067000
sgemm	3	4915200	f0ac7beb	99.209517000
sgemm	5	4915200	f0ac7beb	98.527872000
sgemm	3	4915200	f0ac7beb	61.759729000
sgemm	4	4915200	f0ac7beb	61.762426000
sgemm	1	4915200	f0ac7beb	61.666139000
sgemm	0	4915200	f0ac7beb	61.788510000
sgemm	2	4915200	f0ac7beb	61.788168000
sgemm	7	4915200	f0ac7beb	61.791389000
sgemm	3	4915200	f0ac7beb	12.293708000
sgemm	5	4915200	f0ac7beb	67.915809000
sgemm	1	4915200	f0ac7beb	12.319536000
sgemm	7	4915200	f0ac7beb	29.564479000
strsm	0	3276800	d39bff17	37.325880000
sgemm	1	4915200	f0ac7beb	25.293488000
sgemm	1	4915200	f0ac7beb	37.823617000
ssyrk	4	3276800	d39bff17	75.452619000
sgemm	7	4915200	f0ac7beb	38.091871000
sgemm	5	4915200	f0ac7beb	63.166198000
sgemm	2	4915200	f0ac7beb	75.490727000
sgemm	5	4915200	f0ac7beb	64.379537000
sgemm	4	4915200	f0ac7beb	64.383585000
sgemm	2	4915200	f0ac7beb	64.358922000
ssyrk	0	3276800	d39bff17	102.421550000
sgemm	7	4915200	f0ac7beb	64.391137000
sgemm	1	4915200	f0ac7beb	64.389390000
sgemm	3	4915200	f0ac7beb	152.600620000
sgemm	1	4915200	f0ac7beb	25.139215000
sgemm	7	4915200	f0ac7beb	25.142115000
sgemm	2	4915200	f0ac7beb	25.109966000
sgemm	3	4915200	f0ac7beb	19.278383000
sgemm	0	4915200	f0ac7beb	44.286068000
sgemm	7	4915200	f0ac7beb	75.008498000
sgemm	1	4915200	f0ac7beb	82.424392000
sgemm	5	4915200	f0ac7beb	113.880189000
sgemm	3	4915200	f0ac7beb	69.546094000
sgemm	4	4915200	f0ac7beb	113.844768000
sgemm	2	4915200	f0ac7beb	88.737162000
sgemm	7	4915200	f0ac7beb	13.719619000
sgemm	0	4915200	f0ac7beb	95.662519000
sgemm	1	4915200	f0ac7beb	32.405246000
sgemm	4	4915200	f0ac7beb	61.376333000
sgemm	5	4915200	f0ac7beb	61.377844000
sgemm	2	4915200	f0ac7beb	61.372723000
sgemm	3	4915200	f0ac7beb	59.469515000
sgemm	1	4915200	f0ac7beb	35.261355000
sgemm	0	4915200	f0ac7beb	35.268900000
sgemm	7	4915200	f0ac7beb	61.394466000
sgemm	0	4915200	f0ac7beb	42.446268000
sgemm	3	4915200	f0ac7beb	42.426435000
sgemm	5	4915200	f0ac7beb	41.958248000
sgemm	7	4915200	f0ac7beb	49.206129000
sgemm	0	4915200	f0ac7beb	6.730143000
strsm	1	3276800	d39bff17	49.212318000
sgemm	2	4915200	f0ac7beb	49.187486000
sgemm	4	4915200	f0ac7beb	49.202185000
sgemm	3	4915200	f0ac7beb	20.121152000
sgemm	5	4915200	f0ac7beb	78.775510000
sgemm	2	4915200	f0ac7beb	72.161754000
sgemm	1	4915200	f0ac7beb	84.182688000
