CPU16 0.051129 4398 sgemm sgemm CUDA0 0.044954 4438 40
CPU10 0.046919 4399 sgemm sgemm CUDA1 0.029475 4439 40
CPU0 0.032260 4400 sgemm sgemm CUDA3 0.031354 4440 40
CPU3 0.030979 4403 ssyrk ssyrk CUDA3 0.065304 4443 40
CPU10 0.030282 4404 sgemm sgemm CUDA0 0.030111 4444 40
CPU6 0.043533 4405 sgemm sgemm CUDA0 0.029713 4445 40
CPU14 0.033653 4406 sgemm sgemm CUDA1 0.029571 4446 40
CPU12 0.027044 4409 ssyrk ssyrk CUDA0 0.027983 4449 40
CPU14 0.029009 4410 sgemm sgemm CUDA0 0.032287 4450 40
CPU8 0.034735 4411 sgemm sgemm CUDA1 0.029390 4451 40
CPU17 0.031806 4414 ssyrk ssyrk CUDA1 0.030039 4454 40
CPU14 0.028688 4415 sgemm sgemm CUDA1 0.032330 4455 40
CPU7 0.024819 4418 ssyrk ssyrk CUDA0 0.038003 4458 40
CPU9 0.056932 4421 spotrf spotrf CPU -1 4461 40
CPU0 0.056171 4422 strsm strsm CUDA2 0.110144 4462 40
CPU17 0.057556 4423 strsm strsm CUDA2 0.084127 4463 40
CPU7 0.056875 4424 strsm strsm CUDA1 0.061162 4464 40
CPU14 0.054621 4425 strsm strsm CUDA2 0.035364 4465 40
CPU16 0.058318 4426 strsm strsm CUDA2 0.056970 4466 40
CPU3 0.055893 4427 strsm strsm CUDA0 0.046482 4467 40
CPU11 0.058203 4428 strsm strsm CUDA2 0.057451 4468 40
CPU8 0.056016 4429 strsm strsm CUDA0 0.030437 4469 40
CPU6 0.054495 4430 strsm strsm CUDA3 0.064037 4470 40
CPU3 0.052306 4431 strsm strsm CUDA0 0.048711 4471 40
CPU4 0.057948 4432 strsm strsm CUDA0 0.072073 4472 40
CPU11 0.051290 4433 strsm strsm CUDA2 0.063306 4473 40
CPU5 0.062333 4434 strsm strsm CUDA1 0.063673 4474 40
CPU15 0.056571 4435 strsm strsm CUDA3 0.063634 4475 40
CPU6 0.054238 4436 strsm strsm CUDA1 0.034067 4476 40
CPU2 0.057439 4437 strsm strsm CUDA1 0.064141 4477 40
CPU16 0.052390 4438 strsm strsm CUDA0 0.035498 4478 40
CPU0 0.054244 4439 strsm strsm CUDA0 0.065528 4479 40
CPU4 0.026464 4442 ssyrk ssyrk CUDA1 0.037726 4482 40
CPU11 0.033525 4443 sgemm sgemm CUDA2 0.037345 4483 40
CPU0 0.032756 4444 sgemm sgemm CUDA1 0.044155 4484 40
CPU19 0.047978 4445 sgemm sgemm CUDA2 0.044580 4485 40
CPU14 0.029608 4446 sgemm sgemm CUDA2 0.034758 4486 40
CPU17 0.030905 4447 sgemm sgemm CUDA2 0.056132 4487 40
CPU10 0.036175 4448 sgemm sgemm CUDA2 0.032027 4488 40
CPU2 0.032111 4449 sgemm sgemm CUDA3 0.037370 4489 40
CPU11 0.032490 4450 sgemm sgemm CUDA1 0.191893 4490 40
CPU15 0.031663 4451 sgemm sgemm CUDA3 0.062042 4491 40
CPU19 0.046201 4452 sgemm sgemm CUDA0 0.037132 4492 40
CPU3 0.034980 4453 sgemm sgemm CUDA2 0.030992 4493 40
CPU2 0.032164 4454 sgemm sgemm CUDA1 0.052584 4494 40
CPU4 0.033489 4455 sgemm sgemm CUDA1 0.051754 4495 40
CPU17 0.031951 4456 sgemm sgemm CUDA1 0.048377 4496 40
CPU5 0.032552 4457 sgemm sgemm CUDA3 0.051906 4497 40
CPU9 0.037744 4458 sgemm sgemm CUDA0 0.032539 4498 40
CPU1 0.048108 4459 sgemm sgemm CUDA0 0.030139 4499 40
CPU19 0.037113 4462 ssyrk ssyrk CUDA3 0.059292 4502 40
CPU17 0.031171 4463 sgemm sgemm CUDA3 0.034069 4503 40
CPU7 0.059544 4464 sgemm sgemm CUDA0 0.038989 4504 40
CPU2 0.032300 4465 sgemm sgemm CUDA3 0.032872 4505 40
CPU0 0.032194 4466 sgemm sgemm CUDA0 0.035976 4506 40
CPU3 0.032256 4467 sgemm sgemm CUDA2 0.036543 4507 40
CPU17 0.032872 4468 sgemm sgemm CUDA1 0.081956 4508 40
CPU18 0.032328 4469 sgemm sgemm CUDA1 0.038906 4509 40
CPU19 0.044892 4470 sgemm sgemm CUDA0 0.084930 4510 40
CPU17 0.028432 4471 sgemm sgemm CUDA0 0.033112 4511 40
CPU18 0.029712 4472 sgemm sgemm CUDA3 0.032007 4512 40
CPU14 0.033204 4473 sgemm sgemm CUDA0 0.054778 4513 40
CPU13 0.051254 4474 sgemm sgemm CUDA3 0.039796 4514 40
CPU4 0.033036 4475 sgemm sgemm CUDA3 0.043377 4515 40
CPU2 0.032056 4476 sgemm sgemm CUDA1 0.030238 4516 40
CPU3 0.031986 4477 sgemm sgemm CUDA1 0.034429 4517 40
CPU7 0.030765 4478 sgemm sgemm CUDA0 0.032279 4518 40
CPU5 0.031008 4481 ssyrk ssyrk CUDA0 0.032560 4521 40
CPU15 0.045372 4482 sgemm sgemm CUDA0 0.035323 4522 40
CPU6 0.033259 4483 sgemm sgemm CUDA3 0.036551 4523 40
CPU2 0.031238 4484 sgemm sgemm CUDA0 0.033831 4524 40
CPU4 0.031313 4485 sgemm sgemm CUDA3 0.045545 4525 40
CPU5 0.031478 4486 sgemm sgemm CUDA0 0.046846 4526 40
CPU13 0.031522 4487 sgemm sgemm CUDA1 0.032039 4527 40
CPU19 0.045774 4488 sgemm sgemm CUDA3 0.068840 4528 40
CPU11 0.034617 4489 sgemm sgemm CUDA3 0.059475 4529 40
CPU4 0.030140 4490 sgemm sgemm CUDA1 0.111891 4530 40
CPU12 0.034521 4491 sgemm sgemm CUDA0 0.030871 4531 40
CPU10 0.051019 4492 sgemm sgemm CUDA3 0.035538 4532 40
CPU9 0.033928 4493 sgemm sgemm CUDA3 0.031482 4533 40
CPU2 0.030839 4494 sgemm sgemm CUDA1 0.083859 4534 40
CPU19 0.048349 4495 sgemm sgemm CUDA1 0.061811 4535 40
CPU5 0.029547 4496 sgemm sgemm CUDA0 0.031262 4536 40
CPU12 0.023748 4499 ssyrk ssyrk CUDA0 0.055182 4539 40
CPU10 0.030868 4500 sgemm sgemm CUDA3 0.048301 4540 40
CPU19 0.044703 4501 sgemm sgemm CUDA0 0.030521 4541 40
CPU3 0.034564 4502 sgemm sgemm CUDA2 0.034673 4542 40
CPU7 0.052434 4503 sgemm sgemm CUDA0 0.032653 4543 40
CPU10 0.029358 4504 sgemm sgemm CUDA2 0.036283 4544 40
CPU3 0.031921 4505 sgemm sgemm CUDA3 0.031047 4545 40
CPU1 0.034571 4506 sgemm sgemm CUDA3 0.056914 4546 40
CPU10 0.028350 4507 sgemm sgemm CUDA3 0.047784 4547 40
CPU18 0.031562 4508 sgemm sgemm CUDA3 0.031743 4548 40
CPU19 0.046801 4509 sgemm sgemm CUDA3 0.069001 4549 40
CPU5 0.031738 4510 sgemm sgemm CUDA1 0.071177 4550 40
CPU3 0.031076 4511 sgemm sgemm CUDA3 0.032594 4551 40
CPU13 0.034052 4512 sgemm sgemm CUDA1 0.033800 4552 40
CPU12 0.030967 4513 sgemm sgemm CUDA2 0.072544 4553 40
CPU16 0.042048 4516 ssyrk ssyrk CUDA3 0.037409 4556 40
CPU11 0.035958 4517 sgemm sgemm CUDA2 0.035466 4557 40
CPU10 0.029236 4518 sgemm sgemm CUDA2 5.703538 4558 40
CPU19 0.044950 4519 sgemm sgemm CUDA1 0.054693 4559 40
CPU4 0.035001 4520 sgemm sgemm CUDA1 0.032078 4560 40
CPU17 0.032840 4521 sgemm sgemm CUDA1 0.028469 4561 40
CPU16 0.030174 4522 sgemm sgemm CUDA2 0.031770 4562 40
CPU4 0.030711 4523 sgemm sgemm CUDA3 0.033978 4563 40
CPU3 0.032273 4524 sgemm sgemm CUDA1 0.030108 4564 40
CPU1 0.030589 4525 sgemm sgemm CUDA1 0.066415 4565 40
CPU10 0.032117 4526 sgemm sgemm CUDA1 0.074366 4566 40
CPU3 0.030112 4527 sgemm sgemm CUDA3 0.030008 4567 40
CPU2 0.033369 4528 sgemm sgemm CUDA1 0.059661 4568 40
CPU18 0.030508 4529 sgemm sgemm CUDA2 0.033927 4569 40
CPU12 0.024170 4532 ssyrk ssyrk CUDA1 0.031511 4572 40
CPU16 0.030257 4533 sgemm sgemm CUDA2 0.060431 4573 40
CPU0 0.050643 4534 sgemm sgemm CUDA1 0.043270 4574 40
CPU7 0.034843 4535 sgemm sgemm CUDA1 5.275378 4575 40
CPU17 0.030652 4536 sgemm sgemm CUDA1 0.056570 4576 40
CPU2 0.029672 4537 sgemm sgemm CUDA1 0.031374 4577 40
CPU3 0.029488 4538 sgemm sgemm CUDA1 0.053462 4578 40
CPU10 0.029527 4539 sgemm sgemm CUDA0 0.033535 4579 40
CPU11 0.034216 4540 sgemm sgemm CUDA1 0.035360 4580 40
CPU0 0.029545 4541 sgemm sgemm CUDA0 0.031988 4581 40
CPU3 0.031668 4542 sgemm sgemm CUDA2 0.034396 4582 40
CPU6 0.034738 4543 sgemm sgemm CUDA0 0.032899 4583 40
CPU2 0.030762 4544 sgemm sgemm CUDA2 0.031430 4584 40
CPU7 0.024209 4547 ssyrk ssyrk CUDA3 0.031042 4587 40
CPU19 0.048814 4548 sgemm sgemm CUDA3 0.071424 4588 40
